episode,agent,decision,signal_id,reward
1,FMA2CVAL,50,J01,-370.2
1,FMA2CVAL,50,top_mgr,6.0
1,FMA2CVAL,100,J01,-354.4
1,FMA2CVAL,100,top_mgr,0.0
1,FMA2CVAL,150,J01,-761.2
1,FMA2CVAL,150,top_mgr,4.0
1,FMA2CVAL,200,J01,-387.2
1,FMA2CVAL,200,top_mgr,7.0
1,FMA2CVAL,250,J01,-1074.4
1,FMA2CVAL,250,top_mgr,2.0
1,FMA2CVAL,300,J01,-678.8
1,FMA2CVAL,300,top_mgr,4.0
1,FMA2CVAL,350,J01,-594.0
1,FMA2CVAL,350,top_mgr,9.0
1,FMA2CVAL,400,J01,-314.0
1,FMA2CVAL,400,top_mgr,1.0
1,FMA2CVAL,450,J01,-202.4
1,FMA2CVAL,450,top_mgr,2.0
1,FMA2CVAL,500,J01,-736.0
1,FMA2CVAL,500,top_mgr,0.0
1,FMA2CVAL,550,J01,-648.2
1,FMA2CVAL,550,top_mgr,0.0
1,FMA2CVAL,600,J01,-633.8
1,FMA2CVAL,600,top_mgr,2.0
1,FMA2CVAL,650,J01,-749.2
1,FMA2CVAL,650,top_mgr,0.0
1,FMA2CVAL,700,J01,-911.6
1,FMA2CVAL,700,top_mgr,3.0
1,FMA2CVAL,750,J01,-562.0
1,FMA2CVAL,750,top_mgr,4.0
1,FMA2CVAL,800,J01,-150.4
1,FMA2CVAL,800,top_mgr,3.0
1,FMA2CVAL,850,J01,-146.2
1,FMA2CVAL,850,top_mgr,8.0
1,FMA2CVAL,900,J01,-147.6
1,FMA2CVAL,900,top_mgr,2.0
1,FMA2CVAL,950,J01,-148.6
1,FMA2CVAL,950,top_mgr,1.0
1,FMA2CVAL,1000,J01,-574.4
1,FMA2CVAL,1000,top_mgr,0.0
1,FMA2CVAL,1050,J01,-132.0
1,FMA2CVAL,1050,top_mgr,0.0
2,FMA2CVAL,50,J01,-851.6
2,FMA2CVAL,50,top_mgr,0.0
2,FMA2CVAL,100,J01,-684.0
2,FMA2CVAL,100,top_mgr,10.0
2,FMA2CVAL,150,J01,-560.2
2,FMA2CVAL,150,top_mgr,2.0
2,FMA2CVAL,200,J01,-960.2
2,FMA2CVAL,200,top_mgr,4.0
2,FMA2CVAL,250,J01,-687.6
2,FMA2CVAL,250,top_mgr,6.0
2,FMA2CVAL,300,J01,-1097.4
2,FMA2CVAL,300,top_mgr,1.0
2,FMA2CVAL,350,J01,-862.4
2,FMA2CVAL,350,top_mgr,0.0
2,FMA2CVAL,400,J01,-771.8
2,FMA2CVAL,400,top_mgr,7.0
2,FMA2CVAL,450,J01,-992.4
2,FMA2CVAL,450,top_mgr,0.0
2,FMA2CVAL,500,J01,-392.8
2,FMA2CVAL,500,top_mgr,1.0
2,FMA2CVAL,550,J01,-689.0
2,FMA2CVAL,550,top_mgr,0.0
2,FMA2CVAL,600,J01,-388.2
2,FMA2CVAL,600,top_mgr,4.0
2,FMA2CVAL,650,J01,-1143.8
2,FMA2CVAL,650,top_mgr,0.0
2,FMA2CVAL,700,J01,-403.6
2,FMA2CVAL,700,top_mgr,1.0
2,FMA2CVAL,750,J01,-229.2
2,FMA2CVAL,750,top_mgr,2.0
2,FMA2CVAL,800,J01,-310.6
2,FMA2CVAL,800,top_mgr,2.0
2,FMA2CVAL,850,J01,-152.0
2,FMA2CVAL,850,top_mgr,5.0
2,FMA2CVAL,900,J01,-110.8
2,FMA2CVAL,900,top_mgr,6.0
2,FMA2CVAL,950,J01,-208.0
2,FMA2CVAL,950,top_mgr,3.0
2,FMA2CVAL,1000,J01,-223.0
2,FMA2CVAL,1000,top_mgr,3.0
2,FMA2CVAL,1050,J01,-60.8
2,FMA2CVAL,1050,top_mgr,10.0
3,FMA2CVAL,50,J01,-599.0
3,FMA2CVAL,50,top_mgr,2.0
3,FMA2CVAL,100,J01,-411.4
3,FMA2CVAL,100,top_mgr,2.0
3,FMA2CVAL,150,J01,-1028.2
3,FMA2CVAL,150,top_mgr,6.0
3,FMA2CVAL,200,J01,-993.6
3,FMA2CVAL,200,top_mgr,12.0
3,FMA2CVAL,250,J01,-1101.0
3,FMA2CVAL,250,top_mgr,0.0
3,FMA2CVAL,300,J01,-371.4
3,FMA2CVAL,300,top_mgr,2.0
3,FMA2CVAL,350,J01,-322.6
3,FMA2CVAL,350,top_mgr,1.0
3,FMA2CVAL,400,J01,-771.4
3,FMA2CVAL,400,top_mgr,0.0
3,FMA2CVAL,450,J01,-397.0
3,FMA2CVAL,450,top_mgr,4.0
3,FMA2CVAL,500,J01,-612.0
3,FMA2CVAL,500,top_mgr,15.0
3,FMA2CVAL,550,J01,-547.0
3,FMA2CVAL,550,top_mgr,1.0
3,FMA2CVAL,600,J01,-699.6
3,FMA2CVAL,600,top_mgr,2.0
3,FMA2CVAL,650,J01,-628.2
3,FMA2CVAL,650,top_mgr,0.0
3,FMA2CVAL,700,J01,-489.0
3,FMA2CVAL,700,top_mgr,5.0
3,FMA2CVAL,750,J01,-152.0
3,FMA2CVAL,750,top_mgr,4.0
3,FMA2CVAL,800,J01,-116.4
3,FMA2CVAL,800,top_mgr,1.0
3,FMA2CVAL,850,J01,-398.2
3,FMA2CVAL,850,top_mgr,0.0
3,FMA2CVAL,900,J01,-77.2
3,FMA2CVAL,900,top_mgr,4.0
3,FMA2CVAL,950,J01,-240.4
3,FMA2CVAL,950,top_mgr,1.0
3,FMA2CVAL,1000,J01,-252.2
3,FMA2CVAL,1000,top_mgr,8.0
3,FMA2CVAL,1050,J01,-93.2
3,FMA2CVAL,1050,top_mgr,3.0
4,FMA2CVAL,50,J01,-459.8
4,FMA2CVAL,50,top_mgr,1.0
4,FMA2CVAL,100,J01,-632.2
4,FMA2CVAL,100,top_mgr,2.0
4,FMA2CVAL,150,J01,-803.2
4,FMA2CVAL,150,top_mgr,0.0
4,FMA2CVAL,200,J01,-436.6
4,FMA2CVAL,200,top_mgr,14.0
4,FMA2CVAL,250,J01,-639.0
4,FMA2CVAL,250,top_mgr,5.0
4,FMA2CVAL,300,J01,-661.0
4,FMA2CVAL,300,top_mgr,4.0
4,FMA2CVAL,350,J01,-469.6
4,FMA2CVAL,350,top_mgr,1.0
